Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-21686][2020 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+Redline 93 v400.ptm - Realtime: Stage1+Redline 93 v400.ptm]"
19.581,-12.50,-7.81,13.00,0.0,14.21,-9.61,14.70,0.31,14.87,190,1.000,0.00,0.00,393,438,6,9.50,0.58,153,140,3.67,1.04,203,681,0.00,3.90,0.000,3.9,0.00,0
19.647,-12.50,-7.81,13.04,0.0,14.21,-9.63,14.70,0.31,14.87,190,1.000,0.00,0.00,386,438,6,8.00,0.59,153,140,3.69,1.04,203,688,0.00,3.91,0.000,3.9,0.00,0
19.702,-12.50,-7.81,13.13,0.0,14.21,-9.63,14.70,0.31,14.87,190,1.000,0.00,0.00,386,438,6,10.50,0.59,153,140,3.73,1.04,203,697,0.00,3.93,0.000,4.7,0.00,0
19.766,-12.50,-7.81,13.17,0.0,14.21,-9.61,14.70,0.31,14.82,190,1.000,0.00,0.00,375,438,5,10.50,0.60,153,140,3.84,1.10,203,710,0.00,3.90,0.000,4.7,0.00,0
19.822,-12.50,-7.81,13.27,0.0,14.21,-9.60,14.70,0.32,14.82,190,1.000,0.00,0.00,378,438,5,10.50,0.61,153,140,3.92,1.10,203,722,0.00,3.88,0.000,4.7,0.00,0
19.878,-11.72,-7.81,13.34,0.0,14.21,-9.57,14.70,0.31,14.76,190,1.000,0.00,0.00,372,438,5,10.50,0.62,153,140,4.02,1.10,203,739,0.00,3.85,0.000,4.7,0.00,0
19.966,-11.72,-7.81,13.44,0.0,14.21,-9.57,14.70,0.31,14.87,190,1.000,0.00,0.00,359,438,5,11.00,0.64,153,140,4.10,1.10,203,758,0.00,3.85,0.000,4.3,0.00,0
20.025,-11.72,-7.81,13.54,0.0,14.21,-9.60,14.70,0.31,14.87,190,1.000,0.00,0.00,392,438,5,11.00,0.65,153,140,4.15,1.08,203,772,0.00,3.88,0.000,4.3,0.00,0
20.082,-11.72,-7.81,13.61,0.0,14.21,-9.63,14.70,0.31,14.87,190,1.000,0.00,0.00,382,438,5,9.00,0.67,153,140,4.19,1.08,203,790,0.00,3.89,0.000,4.3,0.00,0
20.138,-11.72,-7.81,13.70,0.0,14.21,-9.66,14.70,0.31,14.93,190,1.000,0.00,0.00,392,438,5,8.50,0.68,153,140,4.21,1.06,203,804,0.00,3.95,0.000,4.3,0.00,0
20.225,-11.72,-7.81,13.78,0.0,14.21,-9.76,14.70,0.30,14.99,190,1.000,0.00,0.00,386,438,4,7.00,0.70,153,140,4.24,1.04,203,823,0.00,3.90,0.000,4.3,0.00,0
20.278,-11.72,-7.81,13.82,0.0,14.21,-9.83,14.70,0.30,14.99,190,1.000,0.00,0.00,389,438,4,7.00,0.72,153,140,4.26,1.04,203,839,0.00,3.91,0.000,4.3,0.00,0
20.345,-11.72,-7.81,13.87,2.0,14.21,-9.91,14.70,0.30,14.99,190,1.000,0.00,0.00,380,504,4,7.50,0.72,153,140,4.30,1.04,203,856,22.10,4.70,0.000,4.3,0.00,0
20.399,-11.72,-7.81,13.93,4.7,14.21,-9.92,14.70,0.30,14.93,190,1.000,0.00,0.00,391,504,4,8.00,0.74,153,140,4.44,1.14,203,867,38.06,5.38,0.000,5.9,0.00,0
20.465,-11.72,-7.81,13.97,3.9,14.21,-9.85,14.70,0.31,14.87,190,1.000,0.00,0.00,438,504,4,9.00,0.74,153,140,4.66,1.22,203,879,32.11,5.28,0.000,5.9,0.00,0
20.522,-11.72,-7.81,14.03,3.9,14.21,-9.74,14.70,0.32,14.76,190,1.000,0.00,0.00,439,584,4,10.50,0.78,153,140,5.00,1.20,203,915,33.06,4.94,0.000,5.9,0.00,0
20.587,-11.72,-7.81,14.06,4.3,14.21,-9.68,14.70,0.32,14.76,190,1.000,0.00,0.00,509,584,4,11.00,0.80,153,140,5.46,1.22,203,972,33.83,4.89,0.000,6.3,0.00,0
20.655,-11.72,-7.81,14.10,4.3,14.21,-9.63,14.70,0.34,14.59,190,1.000,0.00,0.00,520,584,4,4.50,0.87,153,140,5.93,1.24,203,1034,33.19,4.56,0.000,6.3,0.00,0
20.698,-11.72,-7.81,14.15,3.9,14.21,-9.63,14.70,0.35,14.87,190,1.000,0.00,0.00,561,584,3,5.00,0.92,153,140,6.50,1.24,203,1116,31.56,4.10,0.000,6.3,0.00,0
20.778,-11.72,-7.81,14.17,3.9,14.21,-9.64,14.70,0.35,15.05,190,1.000,0.00,0.00,590,584,3,17.50,0.76,153,140,7.13,1.28,203,1219,30.36,3.61,0.000,6.7,0.00,0
20.833,-11.72,-7.81,14.20,3.9,14.21,-9.66,14.70,0.35,15.11,190,1.000,0.00,0.00,601,584,3,18.50,0.79,153,140,7.28,1.28,203,1239,30.34,3.50,0.000,6.3,0.00,0
20.888,-11.72,-7.81,14.19,4.3,14.21,-9.69,14.70,0.34,15.11,190,1.000,0.00,0.00,634,584,3,19.50,0.77,153,140,6.81,1.28,203,1178,33.24,3.84,0.000,6.7,0.00,0
20.974,-11.72,-7.81,14.17,9.8,14.21,-9.63,14.70,0.35,14.87,190,1.000,0.00,0.00,647,584,3,20.50,0.73,153,140,6.66,1.34,203,1135,93.50,6.87,0.000,9.8,0.00,0
21.028,-11.72,-7.81,14.18,17.6,14.21,-9.26,14.70,0.41,14.87,190,1.000,0.00,0.00,656,730,3,21.00,0.73,153,140,8.07,1.46,203,1154,111.35,8.02,0.000,11.8,0.00,0
21.095,-12.50,-7.81,14.17,22.0,14.21,-8.14,14.70,0.57,14.70,190,1.000,0.00,0.00,685,1115,3,14.50,1.01,153,140,11.40,1.84,203,1194,130.56,8.15,0.000,15.4,0.00,0
21.153,-12.50,-7.81,14.14,22.0,14.21,-6.73,14.68,0.80,14.70,190,1.000,0.00,0.00,1046,1473,3,-0.50,1.28,151,140,15.99,2.02,203,1184,128.36,6.97,0.000,17.7,0.00,0
21.208,-12.50,-7.81,14.13,22.0,14.21,-4.41,14.68,1.06,14.70,190,1.000,0.00,0.00,1368,1646,3,-0.50,1.24,151,140,20.70,2.36,203,1158,127.49,4.77,0.000,24.0,0.00,0
21.284,-13.28,-7.81,14.14,22.4,14.21,-2.56,14.68,1.15,14.70,190,1.000,0.00,0.00,1629,1778,3,-3.50,1.73,151,140,22.51,2.24,203,1169,129.40,2.68,0.000,26.4,0.00,0
21.328,-13.28,-7.81,14.27,21.6,14.21,-1.57,14.68,1.18,14.70,190,1.000,0.00,0.00,1648,1778,3,-7.50,2.03,151,140,23.42,1.98,203,1193,128.05,1.64,0.000,26.4,0.00,0
21.416,-14.06,-7.81,14.00,21.6,14.21,-1.08,14.69,1.14,14.70,190,1.000,0.00,0.00,1721,1778,3,-7.50,1.99,151,140,22.27,1.90,203,1165,125.08,0.79,0.000,24.0,0.00,0
21.472,-14.84,-7.81,13.63,22.4,14.21,-0.98,14.74,1.11,14.76,190,1.000,0.00,0.00,1692,1778,3,-7.00,1.99,151,140,22.20,1.94,203,1189,131.45,0.96,0.000,24.8,0.00,0
21.531,-17.19,-7.81,13.46,24.7,14.21,-0.82,14.74,1.14,14.76,190,1.000,0.00,0.00,1664,1778,3,-6.50,1.81,151,140,23.17,2.00,203,1209,146.44,1.64,0.000,31.9,0.00,0
21.589,-17.19,-7.81,13.34,27.8,14.21,-0.59,14.74,1.16,14.76,190,1.000,0.00,0.00,1702,1778,3,-6.50,1.79,151,140,23.26,2.10,203,1193,160.55,1.93,0.010,42.9,0.00,0
21.663,-16.41,-7.81,13.64,29.0,14.21,-0.42,14.44,1.16,14.47,190,1.000,0.00,0.00,1708,1778,3,-7.00,1.78,151,140,23.26,2.08,203,1196,166.69,1.90,0.070,49.2,0.00,0
21.716,-16.41,-7.81,13.87,29.0,14.21,-0.32,14.50,1.18,14.53,190,1.000,0.00,0.00,1795,1778,3,-6.50,1.80,151,140,24.00,2.04,203,1221,170.36,1.91,0.206,54.7,0.00,0
21.773,-15.62,-7.81,14.07,28.6,14.21,-0.25,14.44,1.16,14.47,190,1.000,0.00,0.00,1768,1778,3,-1.50,1.84,151,140,24.03,2.14,203,1237,169.75,1.82,0.770,59.4,0.00,0
21.832,-1.56,-7.81,14.22,28.2,14.21,-0.20,14.44,1.18,14.47,190,1.000,0.00,0.00,1828,1778,3,0.00,1.85,151,140,24.39,2.04,203,1235,168.09,1.74,0.830,57.9,0.00,0
21.889,-1.56,-7.81,14.26,27.5,14.21,-0.16,14.44,1.16,14.47,190,1.000,0.00,0.00,1767,1778,3,0.00,2.36,151,140,24.12,2.12,203,1231,162.39,1.58,0.890,54.3,0.00,0
21.963,-0.78,-7.81,14.23,26.7,14.21,-0.12,14.44,1.16,14.47,190,1.000,0.00,0.00,1769,1778,3,1.00,2.39,151,140,24.82,2.02,203,1261,162.78,1.52,0.950,48.8,0.00,0
22.021,-1.56,-7.81,14.20,25.5,14.21,-0.10,14.44,1.18,14.47,190,1.000,0.00,0.00,1769,1778,3,1.00,2.44,151,140,25.03,2.14,203,1272,156.91,1.39,1.000,44.9,0.00,0
22.074,-1.56,-7.81,14.06,24.3,14.21,-0.09,14.44,1.16,14.47,190,1.000,0.00,0.00,1822,1778,3,1.50,2.43,151,138,24.79,2.04,203,1263,148.09,0.98,1.000,37.4,0.00,0
22.134,-2.34,-7.81,14.09,24.3,14.21,-0.12,14.44,1.15,14.47,190,1.000,0.00,0.00,1794,1778,3,2.00,2.19,151,138,25.15,2.12,203,1290,151.31,1.23,1.000,35.0,0.00,0
22.191,-2.34,-7.81,14.13,23.5,14.21,-0.11,14.44,1.16,14.47,190,1.000,0.00,0.00,1816,1778,3,2.50,2.21,151,138,25.42,2.10,203,1301,148.93,1.17,1.000,35.4,0.00,0
22.263,-2.34,-7.81,14.11,22.4,14.21,-0.13,14.44,1.15,14.47,190,1.000,0.00,0.00,1828,1778,3,2.50,2.22,151,138,24.94,2.10,203,1304,141.66,0.91,1.000,24.8,0.00,0
22.327,-3.12,-7.81,14.25,22.0,14.21,-0.40,14.62,1.10,14.64,190,1.000,0.00,0.00,1786,1699,3,2.50,2.23,151,138,24.07,2.02,203,1312,140.91,1.06,1.000,23.2,0.00,0
22.370,-3.12,-7.81,14.23,20.4,14.21,-0.56,14.62,1.09,14.64,190,1.000,0.00,0.00,1794,1699,3,3.50,2.25,151,138,23.96,2.02,203,1321,131.70,0.90,1.000,21.3,0.00,0
22.433,-3.12,-7.81,14.24,18.4,14.21,-0.88,14.68,1.03,14.70,190,1.000,0.00,0.00,1769,1646,3,3.50,2.27,151,138,23.15,2.00,203,1340,124.64,0.57,1.000,18.9,0.00,0
22.489,-3.12,-7.81,14.32,18.4,14.21,-1.28,14.68,1.00,14.70,190,1.000,0.00,0.00,1686,1646,3,6.00,2.01,151,138,22.20,1.92,203,1344,125.53,0.90,1.000,18.1,0.00,0
22.557,-3.12,-7.81,14.36,18.8,14.21,-1.52,14.68,0.98,14.70,190,1.000,0.00,0.00,1718,1646,3,6.50,2.01,151,136,22.05,1.96,203,1344,126.60,1.26,1.000,18.5,0.00,0
22.612,-3.12,-7.81,14.40,19.6,14.21,-1.61,14.68,0.97,14.70,190,1.000,0.00,0.00,1696,1646,3,7.00,2.04,151,136,22.46,2.00,203,1375,130.98,1.62,1.000,18.9,0.00,0
22.678,-3.12,-7.81,14.47,20.4,14.21,-1.58,14.68,0.98,14.70,190,1.000,0.00,0.00,1674,1646,3,7.00,2.06,151,136,22.87,2.04,203,1381,135.85,1.93,1.000,19.7,0.00,0
22.732,-3.12,-7.81,14.55,20.8,14.21,-1.42,14.68,1.01,14.70,190,1.000,0.00,0.00,1646,1646,3,6.50,2.06,151,136,23.48,2.10,203,1381,137.09,1.89,1.000,20.5,0.00,0
22.818,-3.12,-7.81,14.59,20.4,14.21,-1.23,14.68,1.02,14.70,190,1.000,0.00,0.00,1663,1646,3,6.00,2.09,151,136,24.11,2.10,203,1407,136.99,1.69,1.000,20.5,0.00,0
22.869,-3.12,-7.81,14.57,20.0,14.21,-1.17,14.68,1.02,14.70,190,1.000,0.00,0.00,1686,1646,3,6.00,2.10,151,136,24.11,2.08,203,1408,136.25,1.60,1.000,20.1,0.00,0
22.951,-3.12,-7.81,14.53,19.2,14.21,-1.18,14.68,1.02,14.70,190,1.000,0.00,0.00,1661,1646,3,6.00,2.10,151,136,24.05,2.08,203,1410,132.73,1.37,1.000,19.7,0.00,0
23.015,-3.12,-7.81,14.50,19.2,14.21,-1.25,14.68,1.00,14.70,190,1.000,0.00,0.00,1648,1646,3,7.00,2.15,151,136,24.06,2.04,203,1440,133.73,1.42,1.000,19.7,0.00,0
23.072,-3.91,-7.81,14.42,19.2,14.21,-1.32,14.68,1.00,14.70,190,1.000,0.00,0.00,1633,1646,3,7.00,2.15,151,136,23.99,2.08,203,1440,134.53,1.54,1.000,19.7,0.00,0
23.132,-3.91,-7.81,14.39,19.2,14.21,-1.33,14.68,1.00,14.70,190,1.000,0.00,0.00,1632,1646,3,7.00,2.16,151,135,24.23,2.06,203,1449,135.15,1.54,1.000,20.1,0.00,0
23.188,-4.69,-7.81,14.41,19.6,14.21,-1.31,14.68,1.00,14.70,190,1.000,0.00,0.00,1681,1646,3,7.50,2.20,151,135,24.63,2.10,203,1476,139.01,1.76,1.000,20.5,0.00,0
23.252,-4.69,-7.81,14.46,19.2,14.21,-1.27,14.68,1.00,14.70,190,1.000,0.00,0.00,1670,1646,3,7.50,2.21,151,135,24.91,2.10,203,1482,137.41,1.67,1.000,20.5,0.00,0
23.309,-3.91,-7.81,14.53,19.2,14.21,-1.24,14.68,1.01,14.70,190,1.000,0.00,0.00,1664,1646,3,7.50,2.21,151,135,24.83,2.08,203,1477,136.78,1.57,1.000,20.1,0.00,0
23.397,-4.69,-7.81,14.50,18.8,14.21,-1.24,14.68,1.00,14.70,190,1.000,0.00,0.00,1629,1646,3,8.50,2.25,151,135,25.17,2.12,203,1506,137.56,1.67,1.000,20.1,0.00,0
23.449,-4.69,-7.81,14.53,16.9,14.21,-1.26,14.68,1.00,14.70,190,1.000,0.00,0.00,1619,1646,3,8.50,2.26,151,135,25.28,2.10,203,1516,128.95,1.21,1.000,19.3,0.00,0
23.537,-3.91,-7.81,14.58,12.2,14.21,-1.61,14.68,0.94,14.70,190,1.000,0.00,0.00,1636,1593,3,9.00,2.25,151,133,23.71,2.00,203,1509,105.79,0.05,1.000,16.5,0.00,0
23.592,-4.69,-7.81,14.57,3.1,14.21,-2.17,14.68,0.87,14.70,190,1.000,0.00,0.00,1654,1513,3,11.50,1.96,151,133,21.54,1.74,203,1530,35.12,-4.41,1.000,7.9,0.00,0
23.650,-4.69,-7.81,14.56,0.0,14.21,-3.38,14.67,0.63,14.70,190,1.000,0.00,0.00,1559,438,3,15.50,1.64,151,133,15.75,1.46,203,1537,20.00,-4.62,1.000,6.3,0.00,0
23.724,-0.78,-7.81,14.58,0.0,14.21,-4.80,14.67,0.49,14.76,190,1.000,0.00,0.00,1453,438,3,17.00,1.29,151,133,11.94,1.28,203,1516,19.40,-3.18,1.000,5.9,0.00,0
23.771,-0.78,-7.81,14.58,0.0,14.21,-6.06,14.68,0.39,14.82,190,1.000,0.00,0.00,1375,438,3,16.50,1.29,151,133,9.93,1.26,203,1527,18.80,-1.91,1.000,5.9,0.00,0
23.828,-0.78,-7.81,14.65,0.0,14.21,-7.07,14.68,0.34,14.76,190,1.000,0.00,0.00,1301,438,3,16.00,1.00,151,133,8.88,1.26,203,1557,18.20,-0.88,1.000,7.1,0.00,0
23.896,0.00,-7.81,14.87,0.0,14.21,-7.77,14.68,0.32,14.82,190,1.000,0.00,0.00,1233,438,3,16.00,0.99,151,133,8.21,1.34,203,1538,17.60,-0.18,1.000,7.1,0.00,0
23.953,0.00,-7.81,15.06,0.0,14.21,-8.28,14.63,0.30,14.82,190,1.000,0.00,0.00,1181,438,3,15.00,0.66,151,131,7.90,1.34,203,1543,17.00,0.35,1.000,7.1,0.00,0
24.008,0.00,-7.81,15.49,0.0,14.21,-8.71,14.63,0.30,14.76,190,1.000,0.00,0.00,1144,438,3,15.00,0.66,151,131,7.71,1.34,203,1556,16.40,0.68,1.000,6.7,0.00,0
24.095,0.00,-7.81,15.90,0.0,14.21,-9.20,14.63,0.27,14.82,190,1.000,0.00,0.00,1078,438,3,14.00,0.66,151,131,7.34,1.32,203,1549,15.60,1.13,1.000,6.7,0.00,0
24.157,0.00,-7.81,15.97,0.0,14.21,-9.47,14.63,0.27,14.82,190,1.000,0.00,0.00,1041,438,3,13.50,0.66,151,131,7.11,1.34,203,1551,15.00,1.35,1.000,6.7,0.00,0
24.212,0.00,-7.81,16.19,0.0,14.21,-9.68,14.63,0.26,14.82,190,1.000,0.00,0.00,1003,438,3,13.50,0.66,151,131,6.81,1.32,203,1533,14.40,1.59,1.000,6.7,0.00,0
24.285,0.00,-7.81,16.28,0.0,14.21,-9.85,14.63,0.26,14.82,190,1.000,0.00,0.00,962,438,3,12.50,0.64,151,131,6.57,1.30,203,1504,13.80,1.82,1.000,6.7,0.00,0
24.329,0.00,-7.81,16.53,0.0,14.21,-9.98,14.70,0.26,14.82,190,1.000,0.00,0.00,929,438,3,12.50,0.64,151,131,6.61,1.30,203,1510,13.20,1.90,0.702,6.7,0.00,0
24.402,0.00,-7.81,16.71,0.0,14.21,-10.10,14.70,0.26,14.93,190,1.000,0.00,0.00,897,438,3,13.00,0.67,151,131,6.83,1.30,203,1559,12.60,1.79,0.582,6.3,0.00,0
24.455,0.00,-7.81,17.01,0.0,14.21,-10.23,14.70,0.25,14.93,190,1.000,0.00,0.00,865,438,3,13.00,0.67,151,131,6.67,1.26,203,1570,12.00,1.85,0.000,5.9,0.00,0
24.510,0.00,-7.81,17.28,0.0,14.21,-10.38,14.70,0.25,14.99,190,1.000,0.00,0.00,838,438,3,13.00,0.65,151,131,6.26,1.22,203,1526,11.40,2.05,0.000,5.9,0.00,0
24.597,0.00,-7.81,17.32,0.0,14.21,-10.50,14.70,0.23,15.17,190,1.000,0.00,0.00,811,438,3,12.50,0.64,151,131,5.99,1.24,203,1494,10.60,2.32,0.000,5.9,0.00,0
24.652,0.00,-7.81,17.63,0.0,14.21,-10.56,14.70,0.23,15.11,190,1.000,0.00,0.00,800,438,3,12.50,0.66,151,131,6.29,1.24,203,1566,10.00,2.11,0.000,5.9,0.00,0
24.723,0.00,-7.81,17.69,0.0,14.21,-10.63,14.70,0.23,15.11,190,1.000,0.00,0.00,790,438,3,13.00,0.66,151,131,6.01,1.22,203,1538,9.40,2.10,0.000,5.9,0.00,0
24.781,0.00,-7.81,17.80,0.0,14.21,-10.67,14.70,0.22,15.24,190,1.000,0.00,0.00,791,438,3,12.50,0.64,151,131,5.75,1.22,203,1498,8.80,2.33,0.000,5.9,0.00,0
24.834,0.00,-7.81,18.19,0.0,14.21,-10.70,14.70,0.22,15.24,190,1.000,0.00,0.00,776,438,3,12.50,0.65,151,131,5.85,1.24,203,1523,8.20,2.36,0.000,5.9,0.00,0
24.892,0.00,-7.81,18.39,0.0,14.21,-10.71,14.70,0.22,15.24,190,1.000,0.00,0.00,780,438,3,13.00,0.66,151,131,5.89,1.22,203,1543,7.60,2.14,0.000,5.9,0.00,0
24.948,0.00,-7.81,18.46,0.0,14.21,-10.72,14.70,0.22,15.24,190,1.000,0.00,0.00,784,438,3,12.50,0.64,151,131,5.65,1.24,203,1499,7.00,2.28,0.000,5.9,0.00,0
25.024,0.00,-7.81,18.75,0.0,14.21,-10.73,14.70,0.22,15.24,190,1.000,0.00,0.00,786,438,3,12.50,0.64,151,131,5.70,1.24,203,1509,6.30,2.20,0.000,5.9,0.00,0
25.097,0.00,-7.81,19.07,0.0,14.21,-10.73,14.70,0.22,15.24,190,1.000,0.00,0.00,786,438,3,12.50,0.65,151,131,5.79,1.24,203,1534,5.60,2.06,0.000,5.9,0.00,0
25.151,0.00,-7.81,19.32,0.0,14.21,-10.74,14.70,0.22,15.24,190,1.000,0.00,0.00,787,438,3,12.50,0.64,151,131,5.61,1.22,203,1500,5.00,2.14,0.000,5.9,0.00,0
25.237,0.00,-7.81,20.11,0.0,14.21,-10.73,14.70,0.22,15.24,190,1.000,0.00,0.00,791,438,3,12.50,0.64,151,131,5.54,1.22,203,1489,4.20,2.16,0.000,5.9,0.00,0
25.297,0.00,-7.81,20.85,0.0,14.21,-10.74,14.70,0.22,13.54,190,1.000,0.00,0.00,791,438,3,12.50,0.64,151,131,5.64,1.22,203,1513,3.60,2.02,0.010,5.9,0.00,0
25.352,0.00,-7.81,21.84,0.0,14.21,-10.75,14.63,0.22,13.49,190,1.000,0.00,0.00,796,438,3,7.50,0.64,151,131,5.56,1.24,203,1495,3.00,2.04,0.070,5.9,0.00,0
25.409,0.00,-7.81,22.20,0.0,14.21,-10.75,14.63,0.22,13.49,190,1.000,0.00,0.00,796,438,3,7.50,0.63,151,131,5.51,1.22,203,1479,2.40,2.08,0.356,5.9,0.00,0
25.489,0.00,-7.81,22.20,0.0,14.21,-10.77,14.63,0.22,13.44,190,1.000,0.00,0.00,796,438,3,7.50,0.64,151,131,5.66,1.22,203,1506,1.70,1.93,0.813,5.9,0.00,0
25.544,0.00,-7.81,22.20,0.0,14.21,-10.79,14.63,0.22,13.39,190,1.000,0.00,0.00,796,438,3,7.50,0.64,151,131,5.62,1.22,203,1497,1.10,1.95,0.873,5.9,0.00,0
25.600,0.00,-7.81,22.20,0.0,14.21,-10.80,14.63,0.22,13.39,190,1.000,0.00,0.00,796,438,3,7.50,0.63,151,131,5.55,1.22,203,1479,0.50,1.99,0.933,5.9,0.00,0
25.667,0.00,-7.81,22.20,0.0,14.21,-10.81,14.63,0.22,13.34,190,1.000,0.00,0.00,802,438,3,7.50,0.63,151,131,5.57,1.22,203,1484,0.00,1.94,0.993,5.9,0.00,0
25.722,0.00,-7.81,22.20,0.0,14.21,-10.82,14.63,0.22,13.30,190,1.000,0.00,0.00,802,438,3,7.50,0.64,151,131,5.60,1.22,203,1492,0.00,1.92,1.000,5.9,0.00,0
25.787,0.00,-7.81,22.20,0.0,14.21,-10.83,14.63,0.22,13.30,190,1.000,0.00,0.00,802,438,3,7.50,0.63,151,133,5.51,1.22,203,1469,0.00,2.00,1.000,5.9,0.00,0
25.843,0.00,-7.81,22.20,0.0,14.21,-10.83,14.63,0.22,13.25,190,1.000,0.00,0.00,802,438,3,7.50,0.63,151,133,5.49,1.22,203,1472,0.00,2.02,1.000,5.9,0.00,0
25.913,0.00,-7.81,22.20,0.0,14.21,-10.84,14.63,0.22,13.25,190,1.000,0.00,0.00,802,438,3,7.50,0.63,151,133,5.57,1.22,203,1488,0.00,1.96,1.000,5.9,0.00,0
25.971,0.00,-7.81,22.20,0.0,14.21,-10.85,14.63,0.22,13.20,190,1.000,0.00,0.00,807,438,3,7.50,0.63,151,133,5.50,1.22,203,1472,0.00,2.03,1.000,5.9,0.00,0
26.024,0.00,-7.81,22.20,0.0,14.21,-10.84,14.63,0.22,13.20,190,1.000,0.00,0.00,807,438,3,7.50,0.62,151,133,5.46,1.22,203,1459,0.00,2.07,1.000,5.9,0.00,0
26.094,0.00,-7.81,22.20,0.0,14.21,-10.82,14.63,0.22,13.20,190,1.000,0.00,0.00,807,438,3,7.50,0.63,151,133,5.54,1.22,203,1473,0.00,2.01,1.000,5.9,0.00,0
26.147,0.00,-7.81,22.20,0.0,14.21,-10.82,14.63,0.22,13.20,190,1.000,0.00,0.00,807,438,3,7.50,0.63,151,133,5.50,1.22,203,1462,0.00,2.04,1.000,5.9,0.00,0
26.202,0.00,-7.81,22.20,0.0,14.21,-10.81,14.63,0.22,13.20,190,1.000,0.00,0.00,807,438,3,7.00,0.61,151,133,5.16,1.22,203,1383,0.00,2.35,1.000,5.5,0.00,0
26.276,0.00,-7.81,22.20,0.0,14.21,-10.77,14.63,0.22,13.25,190,1.000,0.00,0.00,812,438,0,6.50,0.57,151,133,4.78,1.22,203,1278,0.00,2.72,1.000,5.9,0.00,0
26.319,0.00,-7.81,22.20,0.0,14.21,-10.69,14.63,0.22,13.25,190,1.000,0.00,0.00,812,438,4,5.50,0.51,151,133,4.52,1.24,203,1177,0.00,3.08,1.000,5.9,0.00,0
26.406,0.00,-7.81,22.20,0.0,14.21,-10.50,14.07,0.25,12.80,190,1.000,0.00,0.00,812,438,4,4.50,0.46,151,133,4.34,1.28,203,1030,0.00,3.59,1.000,6.7,0.00,0
26.459,0.00,-7.81,22.20,0.0,14.21,-10.28,14.07,0.26,12.76,190,1.000,0.00,0.00,795,438,5,4.00,0.42,151,133,4.15,1.28,203,919,0.00,3.96,1.000,6.7,0.00,0
26.545,0.00,-7.81,22.20,0.0,14.21,-9.92,14.07,0.28,12.93,190,1.000,0.00,0.00,750,438,6,3.00,0.55,151,133,4.04,1.32,203,829,0.00,4.19,1.000,6.7,0.00,0
26.608,0.00,-7.81,22.20,0.0,14.21,-9.63,14.07,0.31,12.98,190,1.000,0.00,0.00,710,438,6,2.00,0.52,151,133,4.34,1.32,203,820,0.00,3.94,1.000,6.7,0.00,0
26.663,0.00,-7.81,22.20,0.0,14.21,-9.35,14.07,0.34,12.93,190,1.000,0.00,0.00,669,438,6,2.00,0.70,151,133,4.60,1.32,203,819,0.00,3.70,1.000,6.7,0.00,0
26.734,0.00,-7.81,22.20,0.0,14.21,-9.18,14.07,0.35,12.89,190,1.000,0.00,0.00,638,438,6,2.00,0.69,151,133,4.80,1.30,203,813,0.00,3.53,1.000,6.3,0.00,0
26.787,0.00,-7.81,22.20,0.0,14.21,-9.00,14.07,0.36,12.89,190,1.000,0.00,0.00,586,438,6,2.00,0.69,151,135,4.95,1.28,203,813,0.00,3.30,1.000,6.3,0.00,0
26.843,0.00,-7.81,22.20,0.0,14.21,-8.88,14.07,0.37,12.84,190,1.000,0.00,0.00,572,438,6,2.00,0.87,151,135,5.16,1.26,203,812,0.00,3.17,1.000,6.3,0.00,0
26.914,0.00,-7.81,22.20,0.0,14.21,-8.80,14.07,0.39,12.84,190,1.000,0.00,0.00,520,438,6,2.00,0.87,151,135,5.33,1.26,203,816,0.00,3.07,1.000,5.9,0.00,0
26.971,0.00,-7.81,22.20,0.0,14.21,-8.73,14.07,0.39,12.80,190,1.000,0.00,0.00,472,438,6,2.00,1.05,151,135,5.44,1.24,203,821,0.00,2.98,1.000,5.9,0.00,0
27.025,0.00,-7.81,22.20,0.0,14.21,-8.71,14.07,0.40,12.80,190,1.000,0.00,0.00,454,438,6,2.00,1.05,151,135,5.53,1.24,203,827,0.00,2.92,1.000,5.9,0.00,0
27.080,0.00,-7.81,22.20,0.0,14.21,-8.72,14.07,0.40,12.80,190,1.000,0.00,0.00,419,438,5,2.00,1.06,151,135,5.56,1.22,203,832,0.00,2.90,1.000,5.5,0.00,0
27.148,0.00,-7.81,22.20,0.0,14.21,-8.72,14.07,0.39,12.80,192,1.000,0.00,0.00,396,438,5,2.00,1.07,151,135,5.56,1.22,203,837,0.00,2.89,1.000,5.5,0.00,0
27.201,0.00,-7.81,22.20,0.0,14.21,-8.73,14.07,0.39,12.80,192,1.000,0.00,0.00,415,438,5,2.50,1.08,151,135,5.59,1.22,203,843,0.00,2.85,1.000,5.5,0.00,0
